age,id_number,phone,children,seniority_months,net_salary,other_income,household_income,fixed_expenses,existing_loans,existing_loan_amount_remaining,existing_loan_monthly,account_number,savings,assets_value,credit_amount,credit_duration_months,dti,risk_score,default,dti_risk,score_group_Bon,score_group_Moyen,score_group_Risque élevé,score_group_Très risqué,credit_type_encoded,contract_type_encoded
66,10000000,232928708,0,141,1498,0,1498,288,False,0,0,4159597752441822,10,4114,8174,58,0.0940794622715344,0.2662255878589288,0,0,True,False,False,False,,1.0
73,10000001,295656500,0,148,2885,0,2885,519,False,0,0,2618962887431271,513,3642,75987,69,0.3817195388440962,0.3783220044258046,0,0,False,True,False,False,,1.0
51,10000002,249166271,0,88,2134,0,2134,895,True,6039,223,267672095799270,13018,85728,7876,49,0.1798194441787961,0.2348378057877321,0,0,True,False,False,False,,1.0
54,10000003,220997276,2,58,1659,0,1659,1312,False,0,0,7955151229462135,16204,0,500,7,0.0430551967622492,0.2858477568242487,0,0,True,False,False,False,,
55,10000004,273561576,0,16,1969,0,1969,1263,False,0,0,4159709962543848,534,0,17882,37,0.2454531728274745,0.3884254702864774,0,0,False,True,False,False,,1.0
63,10000005,225503345,2,148,2299,0,2299,1914,False,0,0,752034476504715,2966,3241,7376,32,0.1002609830361026,0.4345726843533942,0,0,False,True,False,False,,
66,10000006,251386492,1,188,1476,0,1476,1725,False,0,0,8029090463766046,3021,0,54304,178,0.2066928534453883,0.4468559721016435,1,0,False,True,False,False,,1.0
27,10000007,263347164,0,292,1667,0,1667,1583,False,0,0,5586652548374417,5296,155412,1111,44,0.0151469706058788,0.298500299940012,0,0,True,False,False,False,,
68,10000008,273209094,0,18,1661,0,1661,804,False,0,0,1581021312512931,10334,34532,500,213,0.0014132557738564,0.2231721656448827,0,0,True,False,False,False,,3.0
38,10000009,275645462,0,147,516,0,516,603,False,0,0,1005912975191023,11723,11289,1791,54,0.0642764857881137,0.201001291989664,0,0,True,False,False,False,,1.0
73,10000010,298723294,0,442,770,0,770,314,False,0,0,1211063301658373,1724,0,23566,49,0.6245958123509144,0.646376528536744,1,1,False,False,True,False,,2.0
73,10000011,245568288,0,38,2045,0,2045,1061,False,0,0,7927490728012342,1020,0,3631,21,0.0845500058213994,0.4054765623276981,1,0,False,True,False,False,,3.0
67,10000012,222232184,1,345,1333,0,1333,874,False,0,0,8931132532694968,2860,0,4423,70,0.0474011359982852,0.338015285919129,0,0,True,False,False,False,,2.0
56,10000013,296149847,0,213,1201,545,1746,172,False,0,0,4364538044210175,4009,0,3343,9,0.2127402316405753,0.0998727249586356,0,0,False,False,False,False,,1.0
55,10000014,283031359,0,17,519,0,519,436,False,0,0,961701595919457,1604,12997,5039,80,0.1213631984585741,0.4609060464262776,1,0,False,True,False,False,,
30,10000015,262013009,0,1,152,0,152,1322,False,0,0,5757475833920567,282,76273,9067,35,1.7043233082706768,1.0,1,1,False,False,False,True,,2.0
73,10000016,234814337,1,39,698,0,698,1062,True,11763,130,7567772266025626,2122,0,4856,11,0.8187027871841626,0.9183255700156544,1,1,False,False,False,True,,
25,10000017,259797531,0,1,2482,0,2482,1202,False,0,0,5062292310672453,13932,83397,4708,56,0.0338724530908253,0.2361920110509957,0,0,True,False,False,False,,3.0
58,10000018,261196706,0,1,2512,393,2905,1068,False,0,0,762484337976627,4999,14705,3112,33,0.0324623167996661,0.2181312262035153,0,0,True,False,False,False,,3.0
27,10000019,259580252,0,243,1607,0,1607,780,False,0,0,511579423873670,1598,50,6525,18,0.2255756067205974,0.4640633769550585,0,0,False,True,False,False,,2.0
38,10000020,235042738,0,20,963,0,963,1020,True,17726,175,4254969192845525,2674,72068,3302,49,0.2517006802721088,0.5476453647320889,1,0,False,False,True,False,,
56,10000021,269830944,0,59,1279,0,1279,1370,False,0,0,9710756335357485,1675,0,1587,15,0.0827208756841282,0.3437607505863956,0,0,True,False,False,False,,
35,10000022,215988382,1,30,2048,0,2048,496,True,17644,152,9532593993379705,1078,76652,9075,32,0.2126922607421875,0.3976500711655396,0,0,False,True,False,False,,1.0
51,10000023,245338986,0,347,891,0,891,690,False,0,0,8162951877941763,23556,16440,265093,93,3.1991721274875395,1.0,1,1,False,False,False,True,,2.0
75,10000024,269020960,0,143,3112,0,3112,949,True,17176,153,4250733055978245,4129,63126,188617,146,0.464298605486495,0.5270835689612262,1,0,False,False,True,False,,1.0
61,10000025,272419022,0,12,1801,853,2654,446,False,0,0,7598339914038843,1831,111709,9316,76,0.0461864910958632,0.3543773336458337,0,0,False,True,False,False,,3.0
38,10000026,245353058,1,97,763,0,763,1442,True,12264,183,6604432400615727,27257,0,9110,26,0.6990624054844238,0.6631112007258796,1,1,False,False,False,True,,1.0
45,10000027,240365724,2,37,3173,567,3740,503,False,0,0,6829751474397429,30439,0,10964,70,0.0418792971734148,0.0369255156608097,0,0,False,False,False,False,,1.0
51,10000028,246045780,0,32,590,0,590,586,False,0,0,2501058752568065,2699,6777,5104,41,0.2109962794543199,0.4776420915224275,1,0,False,True,False,False,,
62,10000029,285731895,0,205,1666,0,1666,1049,True,1252,96,6259045990802711,5931,7582,14389,54,0.2175648036992575,0.3990414559770321,0,0,False,True,False,False,,1.0
56,10000030,218273096,2,234,2974,0,2974,985,False,0,0,2218231555165176,13918,102473,15308,80,0.0643409549428379,0.2435892638106475,0,0,True,False,False,False,,
45,10000031,230284415,0,26,2190,0,2190,1006,False,0,0,8086628137214330,5781,46116,8180,34,0.1098576416868117,0.3215197001838244,0,0,True,False,False,False,,3.0
66,10000032,299586100,2,47,1434,0,1434,561,False,0,0,8003700332285566,2341,8042,19854,70,0.1977884040645547,0.3142164080197089,0,0,True,False,False,False,,1.0
67,10000033,222979206,3,183,2074,0,2074,1442,False,0,0,847068103903397,2908,53482,1863,14,0.0641617302658768,0.1299559167929466,0,0,False,False,False,False,,1.0
41,10000034,221503440,0,41,964,0,964,1651,False,0,0,519582632809448,121,0,11863,63,0.1953335967858789,0.6829919947421409,1,0,False,False,False,True,,3.0
67,10000035,299676390,0,190,1494,0,1494,1112,True,8724,363,5862394535461470,1954,0,25402,24,0.9514167782240072,0.7768292878723579,1,1,False,False,False,True,,1.0
43,10000036,256142898,0,130,0,0,0,521,False,0,0,7986321061339439,3168,0,10279,36,285.52777777777777,1.0,1,1,False,False,False,True,,2.0
45,10000037,282672055,2,34,193,0,193,1268,False,0,0,4570394380403253,12271,83437,5944,58,0.5309987493299982,1.0,1,1,False,False,False,True,,
52,10000038,265564347,1,103,2063,1299,3362,363,False,0,0,7657692778943191,3951,0,13949,39,0.1063850882411263,0.2021045908413451,0,0,True,False,False,False,,1.0
72,10000039,289151743,2,203,0,0,0,392,False,0,0,90040476921053,10623,0,2987,55,54.30909090909091,1.0,1,1,False,False,False,True,,1.0
34,10000040,240536245,0,31,639,0,639,190,True,3159,112,3651460401424731,3049,4876,6743,31,0.5156746933212176,0.61044970123038,1,1,False,False,True,False,,3.0
27,10000041,284303190,0,151,2528,0,2528,854,False,0,0,720113798440971,630,0,25242,46,0.2170645294441387,0.4825067973447785,1,0,False,True,False,False,,
64,10000042,218185099,2,209,1070,0,1070,1001,False,0,0,2316600767620901,3338,127356,10271,14,0.6856475300400534,0.5495939029817535,1,1,False,False,True,False,,1.0
42,10000043,261956500,1,187,2074,0,2074,497,False,0,0,4473404337009687,85,0,3167,60,0.0254500160720025,0.2407588785638448,0,0,True,False,False,False,,1.0
68,10000044,280139805,1,28,442,237,679,156,False,0,0,3045195778255882,1870,106405,5613,58,0.1425270428114367,0.374854095526508,0,0,False,True,False,False,,3.0
26,10000045,266187845,0,14,904,0,904,1439,True,35597,1423,5562965754278656,19553,10864,9344,12,2.43547197640118,1.0,1,1,False,False,False,True,,
49,10000046,281875527,2,152,1939,0,1939,217,False,0,0,1942557782058295,844,136582,21534,72,0.1542461750042977,0.2706470710114095,0,0,True,False,False,False,,1.0
43,10000047,273729850,0,209,1465,0,1465,583,False,0,0,8292361618808190,9306,0,5537,13,0.2907324757154108,0.1759858230506694,0,0,False,False,False,False,,1.0
58,10000048,286868410,2,49,0,218,218,1327,False,0,0,4823571558686395,1679,108897,9006,62,0.6663213968629772,1.0,1,1,False,False,False,True,,
69,10000049,241627336,0,48,727,0,727,1773,False,0,0,6137230817214364,331,159055,14011,63,0.3059103513023733,0.8334580505944922,1,0,False,False,False,True,,
71,10000050,273922841,1,258,2597,0,2597,828,True,27333,1188,3813000413211471,91,4483,16722,37,0.63147706813475,0.7493269185644618,1,1,False,False,False,True,,
55,10000051,250111251,0,11,2685,224,2909,911,False,0,0,6560945653469979,5535,0,11754,25,0.1616225507047095,0.3674512332763908,1,0,False,True,False,False,,3.0
50,10000052,220597167,0,43,590,0,590,264,False,0,0,9070755047681699,470,2469,3819,12,0.5394067796610169,0.6082740260892714,1,1,False,False,True,False,,
68,10000053,262989744,1,101,1679,1876,3555,372,False,0,0,5706071748113176,2122,19825,2122,56,0.0106590315451074,0.1700540214615114,0,0,False,False,False,False,,
